ParticipantId,StartTime (America/Chicago),CompletionTime (America/Chicago),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
21C99EDBFCD34AA1B3538677865FA3C4,05/06/2024 06:34:40 PM,,,,0,0,0,Returned,,,59,"Some college, but no degree",Female,Business Management & Administration,In a relationship,Democrat,Woman,United States,Prefer not to say,Prefer not to say,Unemployed
AB4D929E25A942249E8D34299746B1A6,05/06/2024 06:34:40 PM,,,,0,0,0,Returned,,,40,"Bachelor's degree (for example: BA, AB, BS)",Male,Arts,In a relationship,Democrat,Man,United States,"$60,000-$69,999",An ethnicity not listed here,Full-time
3CA5DB2C4DAC403EA4D1A0AC45D33054,05/06/2024 06:34:51 PM,,,,0,0,0,Returned,,,39,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Democrat,Man,United States,"$200,000-$224,999",White,Full-time
259269483C7F499FB657D6B8BD0C1C97,05/06/2024 06:34:53 PM,05/06/2024 06:36:48 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jane Standifer_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jane%20Standifer_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":629}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""Rounded"",""eyes"":""Hazel"",""hair"":""Brown short"",""nose"":""Smaller sharp"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Brown"",""expression"":""smiling""}}}",33,"Some college, but no degree",Male,Other,Divorced,Democrat,Man,United States,"$30,000-$39,999",White,Full-time
5E46EF4B2865489D9A79F709596A315F,05/06/2024 06:34:54 PM,05/06/2024 06:42:59 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""5.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Louis Sung_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Sung_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":630}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""pointed, soft"",""eyes"":""small, brown, friendly"",""hair"":""short, brown, straight"",""nose"":""wide, small nostrils"",""race"":""white"",""beard"":""brown, scruffy, mustash"",""gender"":""male"",""eyebrows"":""brown, whispy"",""expression"":""smiling"",""additionalInfo"":""not weraling anything else, flat ears""}}}",44,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Married,Independent,Woman,United States,"$100,000-$124,999",White,Full-time
31031F698D384F259E9D43A0F6DB44CB,05/06/2024 06:34:58 PM,05/06/2024 06:38:20 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lorraine Byrd_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lorraine%20Byrd_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":631}","{""Data"":{""taskData"":{""age"":""90\u0027s"",""jaw"":""a round jaw"",""eyes"":""light blue eyes"",""hair"":""short cropped hair"",""nose"":""wide nose"",""race"":""black"",""beard"":""no beard"",""gender"":""female"",""eyebrows"":""thinning light brows"",""expression"":""smiling"",""additionalInfo"":""wearing earrings and smiling""}}}",22,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retail,In a relationship,Prefer not to say,Woman,United States,Prefer not to say,White,Full-time
66069B9E28EE4DA69951BD77656028ED,05/06/2024 06:34:58 PM,05/06/2024 06:38:49 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Adam_Koester_6_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Adam_Koester_6_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":632}","{""Data"":{""taskData"":{""age"":""42"",""jaw"":""Roundish"",""eyes"":""Hazel"",""hair"":""Gray"",""nose"":""Average"",""race"":""white"",""beard"":""Slight gray"",""gender"":""male"",""eyebrows"":""Gray"",""expression"":""neutral"",""additionalInfo"":""Seemed to be wea""}}}",36,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Democrat,Man,United States,"$20,000-$29,999",Black or African American,Student
D1DAE5F65BE04999BB1C9B75657AD601,05/06/2024 06:35:11 PM,,,,0,0,0,Returned,,,63,"Bachelor's degree (for example: BA, AB, BS)",Female,Retired,Married,Independent,Woman,United States,"$30,000-$39,999",White,Retired
DD0D27503B88469AAB822A53357FF732,05/06/2024 06:35:16 PM,05/06/2024 06:38:45 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Joe Amaral_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Joe%20Amaral_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":591}","{""Data"":{""taskData"":{""age"":""37"",""jaw"":""Wide"",""eyes"":""Brown"",""hair"":""Brown"",""nose"":""Narrow"",""race"":""white"",""beard"":""Shaved"",""gender"":""male"",""eyebrows"":""Narrow"",""expression"":""smiling""}}}",32,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,Single,Something else,Man,United States,"$10,000-$19,999",White,Student
9FE514C290F14DC9BF40F4480C4219EA,05/06/2024 06:35:16 PM,05/06/2024 06:38:50 PM,Template,,0,0,0,Pending,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Philip Patton_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Philip%20Patton_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":633}","{""Data"":{""taskData"":{""age"":""mid-20s"",""jaw"":""Pointed/defined"",""eyes"":""Light blue"",""hair"":""Short dirty blonde"",""nose"":""Long, pointed and slim"",""race"":""white"",""beard"":""None, light stubble"",""gender"":""male"",""eyebrows"":""Thin blonde"",""expression"":""smiling""}}}",23,"Some college, but no degree",Prefer not to say,Arts,In a relationship,Democrat,Man,United States,"Less than $10,000",Chinese,Student
