age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
40s,Rounded,Hazel,Brown short,Smaller sharp,white,None,female,Brown,smiling,,4.0,1.0,4.0,Google_1_Jane Standifer_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jane%20Standifer_11_oval.jpg,259269483C7F499FB657D6B8BD0C1C97,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jane Standifer_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jane%20Standifer_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":629}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""Rounded"",""eyes"":""Hazel"",""hair"":""Brown short"",""nose"":""Smaller sharp"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Brown"",""expression"":""smiling""}}}",33,"Some college, but no degree",Male,Other,Divorced,Democrat,Man,United States,"$30,000-$39,999",White,Full-time
mid 30s,"pointed, soft","small, brown, friendly","short, brown, straight","wide, small nostrils",white,"brown, scruffy, mustash",male,"brown, whispy",smiling,"not weraling anything else, flat ears",4.0,1.0,5.0,Google_1_Louis Sung_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Sung_1_oval.jpg,5E46EF4B2865489D9A79F709596A315F,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""5.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Louis Sung_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Sung_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":630}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""pointed, soft"",""eyes"":""small, brown, friendly"",""hair"":""short, brown, straight"",""nose"":""wide, small nostrils"",""race"":""white"",""beard"":""brown, scruffy, mustash"",""gender"":""male"",""eyebrows"":""brown, whispy"",""expression"":""smiling"",""additionalInfo"":""not weraling anything else, flat ears""}}}",44,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Married,Independent,Woman,United States,"$100,000-$124,999",White,Full-time
90's,a round jaw,light blue eyes,short cropped hair,wide nose,black,no beard,female,thinning light brows,smiling,wearing earrings and smiling,3.0,2.0,4.0,Google_1_Lorraine Byrd_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Lorraine%20Byrd_9_oval.jpg,31031F698D384F259E9D43A0F6DB44CB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lorraine Byrd_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lorraine%20Byrd_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":631}","{""Data"":{""taskData"":{""age"":""90\u0027s"",""jaw"":""a round jaw"",""eyes"":""light blue eyes"",""hair"":""short cropped hair"",""nose"":""wide nose"",""race"":""black"",""beard"":""no beard"",""gender"":""female"",""eyebrows"":""thinning light brows"",""expression"":""smiling"",""additionalInfo"":""wearing earrings and smiling""}}}",22,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retail,In a relationship,Prefer not to say,Woman,United States,Prefer not to say,White,Full-time
42,Roundish,Hazel,Gray,Average,white,Slight gray,male,Gray,neutral,Seemed to be wea,3.0,1.0,3.0,Adam_Koester_6_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Adam_Koester_6_oval.jpg,66069B9E28EE4DA69951BD77656028ED,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Adam_Koester_6_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Adam_Koester_6_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":632}","{""Data"":{""taskData"":{""age"":""42"",""jaw"":""Roundish"",""eyes"":""Hazel"",""hair"":""Gray"",""nose"":""Average"",""race"":""white"",""beard"":""Slight gray"",""gender"":""male"",""eyebrows"":""Gray"",""expression"":""neutral"",""additionalInfo"":""Seemed to be wea""}}}",36,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Democrat,Man,United States,"$20,000-$29,999",Black or African American,Student
37,Wide,Brown,Brown,Narrow,white,Shaved,male,Narrow,smiling,,3.0,5.0,3.0,Google_1_Joe Amaral_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Joe%20Amaral_3_oval.jpg,DD0D27503B88469AAB822A53357FF732,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Joe Amaral_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Joe%20Amaral_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":591}","{""Data"":{""taskData"":{""age"":""37"",""jaw"":""Wide"",""eyes"":""Brown"",""hair"":""Brown"",""nose"":""Narrow"",""race"":""white"",""beard"":""Shaved"",""gender"":""male"",""eyebrows"":""Narrow"",""expression"":""smiling""}}}",32,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,Single,Something else,Man,United States,"$10,000-$19,999",White,Student
mid-20s,Pointed/defined,Light blue,Short dirty blonde,"Long, pointed and slim",white,"None, light stubble",male,Thin blonde,smiling,,4.0,1.0,4.0,Google_1_Philip Patton_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Philip%20Patton_1_oval.jpg,9FE514C290F14DC9BF40F4480C4219EA,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Philip Patton_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Philip%20Patton_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":633}","{""Data"":{""taskData"":{""age"":""mid-20s"",""jaw"":""Pointed/defined"",""eyes"":""Light blue"",""hair"":""Short dirty blonde"",""nose"":""Long, pointed and slim"",""race"":""white"",""beard"":""None, light stubble"",""gender"":""male"",""eyebrows"":""Thin blonde"",""expression"":""smiling""}}}",23,"Some college, but no degree",Prefer not to say,Arts,In a relationship,Democrat,Man,United States,"Less than $10,000",Chinese,Student
40's,Round ,Squinty eyes that cannot determine eye color. ,Short and brownish blonde,"Larger nose at the bottom, average nasal bone.",white,Beard and mustache ,male,Thicker towards the center of the face and thinner as it gets closer to the sides of the face.,smiling,,2.0,1.0,2.0,Google_1_Stanley Kato_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Kato_17_oval.jpg,73460B7B13FD4FE48297409EB06F12D9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Stanley Kato_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Kato_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":623}","{""Data"":{""taskData"":{""age"":""40\u0027s"",""jaw"":""Round "",""eyes"":""Squinty eyes that cannot determine eye color. "",""hair"":""Short and brownish blonde"",""nose"":""Larger nose at the bottom, average nasal bone."",""race"":""white"",""beard"":""Beard and mustache "",""gender"":""male"",""eyebrows"":""Thicker towards the center of the face and thinner as it gets closer to the sides of the face."",""expression"":""smiling""}}}",25,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,Married,Republican,Woman,United States,"$70,000-$79,999",White,"Not in paid work (e.g., homemaker, disabled)"
35,Swuare,Small brown,Short brunette ,Wide thick,white,Goatee,male,Normal brown,smiling,N/A,2.0,1.0,2.0,Google_1_Teresa Birdwell_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Teresa%20Birdwell_5_oval.jpg,AF09ECC56B13406EAA4D174850B78291,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Teresa Birdwell_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Teresa%20Birdwell_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":636}","{""Data"":{""taskData"":{""age"":""35"",""jaw"":""Swuare"",""eyes"":""Small brown"",""hair"":""Short brunette "",""nose"":""Wide thick"",""race"":""white"",""beard"":""Goatee"",""gender"":""male"",""eyebrows"":""Normal brown"",""expression"":""smiling"",""additionalInfo"":""N/A""}}}",31,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Legal,In a relationship,Democrat,Man,United States,"$80,000-$89,999",White,Full-time
48,"rounded, narrow, slight angles",brown,"straight, brunette, bangs","bumpy, crinkled",white,none,female,"brown, groomed",smiling,"straight teeth, but with slightly crooked smile. thin lips. lots of smile lines on her face. moderately ",3.0,1.0,3.0,Google_1_Louis Somerville_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Somerville_9_oval.jpg,AF2F9202E556438A87C2ED3381992DC3,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Louis Somerville_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Somerville_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":634}","{""Data"":{""taskData"":{""age"":""48"",""jaw"":""rounded, narrow, slight angles"",""eyes"":""brown"",""hair"":""straight, brunette, bangs"",""nose"":""bumpy, crinkled"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown, groomed"",""expression"":""smiling"",""additionalInfo"":""straight teeth, but with slightly crooked smile. thin lips. lots of smile lines on her face. moderately ""}}}",47,"Some college, but no degree",Male,Information Technology,Single,Republican,Man,United States,"$100,000-$124,999",White,Part-time
Mid 20,Average ,Deep blue,Dirty brown,Large with large holes and mole on tip,white,None,female,Thin dirty brown,smiling,"One front tooth overlaps the other, mole under right eeye",3.0,1.0,3.0,Google_1_Miriam Harlow_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Miriam%20Harlow_7_oval.jpg,64408F7F8FEE4FD58F774742B0C614DF,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Miriam Harlow_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Miriam%20Harlow_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":637}","{""Data"":{""taskData"":{""age"":""Mid 20"",""jaw"":""Average "",""eyes"":""Deep blue"",""hair"":""Dirty brown"",""nose"":""Large with large holes and mole on tip"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin dirty brown"",""expression"":""smiling"",""additionalInfo"":""One front tooth overlaps the other, mole under right eeye""}}}",33,High school graduate - high school diploma or the equivalent (for example: GED),Female,"Transportation, Distribution & Logistics",In a relationship,Republican,Woman,United States,"$50,000-$59,999",White,Part-time
